[ 0 , 0 ], 35, [ 7 , 7 ]
[ 0 , 1 ], 50, [ 7 , 1 ]
[ 0 , 2 ], 15, [ 0 , 6 ]
[ 0 , 3 ], 52, [ 3 , 7 ]
[ 0 , 4 ], 18, [ 1 , 0 ]
[ 0 , 5 ], 25, [ 0 , 7 ]
[ 0 , 6 ], 12, [ 0 , 7 ]
[ 0 , 7 ], 38, [ 0 , 6 ]
[ 1 , 0 ], 52, [ 0 , 6 ]
[ 1 , 1 ], 26, [ 0 , 1 ]
[ 1 , 2 ], 32, [ 7 , 1 ]
[ 1 , 3 ], 46, [ 7 , 6 ]
[ 1 , 4 ], 44, [ 1 , 7 ]
[ 1 , 5 ], 22, [ 3 , 0 ]
[ 1 , 6 ], 16, [ 0 , 0 ]
[ 1 , 7 ], 32, [ 3 , 0 ]
[ 2 , 0 ], 39, [ 0 , 4 ]
[ 2 , 1 ], 34, [ 7 , 1 ]
[ 2 , 2 ], 37, [ 1 , 7 ]
[ 2 , 3 ], 42, [ 0 , 6 ]
[ 2 , 4 ], 12, [ 7 , 0 ]
[ 2 , 5 ], 34, [ 7 , 3 ]
[ 2 , 6 ], 40, [ 0 , 7 ]
[ 2 , 7 ], 36, [ 1 , 7 ]
[ 3 , 0 ], 32, [ 0 , 6 ]
[ 3 , 1 ], 17, [ 0 , 0 ]
[ 3 , 2 ], 16, [ 7 , 7 ]
[ 3 , 3 ], 41, [ 0 , 6 ]
[ 3 , 4 ], 47, [ 4 , 7 ]
[ 3 , 5 ], 32, [ 6 , 7 ]
[ 3 , 6 ], 18, [ 7 , 7 ]
[ 3 , 7 ], 28, [ 6 , 7 ]
[ 4 , 0 ], 53, [ 0 , 6 ]
[ 4 , 1 ], 24, [ 6 , 0 ]
[ 4 , 2 ], 26, [ 6 , 7 ]
[ 4 , 3 ], 30, [ 6 , 6 ]
[ 4 , 4 ], 27, [ 6 , 0 ]
[ 4 , 5 ], 27, [ 0 , 7 ]
[ 4 , 6 ], 29, [ 0 , 0 ]
[ 4 , 7 ], 38, [ 1 , 7 ]
[ 5 , 0 ], 10, [ 0 , 0 ]
[ 5 , 1 ], 27, [ 1 , 7 ]
[ 5 , 2 ], 41, [ 0 , 1 ]
[ 5 , 3 ], 14, [ 7 , 6 ]
[ 5 , 4 ], 22, [ 0 , 6 ]
[ 5 , 5 ], 25, [ 0 , 0 ]
[ 5 , 6 ], 40, [ 7 , 1 ]
[ 5 , 7 ], 26, [ 6 , 7 ]
[ 6 , 0 ], 20, [ 0 , 1 ]
[ 6 , 1 ], 16, [ 7 , 3 ]
[ 6 , 2 ], 37, [ 6 , 0 ]
[ 6 , 3 ], 44, [ 3 , 7 ]
[ 6 , 4 ], 38, [ 0 , 7 ]
[ 6 , 5 ], 6, [ 7 , 7 ]
[ 6 , 6 ], 43, [ 0 , 6 ]
[ 6 , 7 ], 35, [ 1 , 0 ]
[ 7 , 0 ], 42, [ 0 , 6 ]
[ 7 , 1 ], 9, [ 0 , 0 ]
[ 7 , 2 ], 38, [ 0 , 0 ]
[ 7 , 3 ], 13, [ 0 , 0 ]
[ 7 , 4 ], 42, [ 1 , 7 ]
[ 7 , 5 ], 41, [ 6 , 0 ]
[ 7 , 6 ], 18, [ 7 , 7 ]
[ 7 , 7 ], 43, [ 1 , 7 ]
