[ 2 , 2 ], 40, [ 4 , 7 ]
[ 5 , 0 ], 51, [ 6 , 7 ]
[ 7 , 7 ], 24, [ 0 , 1 ]
[ 7 , 2 ], 29, [ 4 , 7 ]
[ 0 , 5 ], 27, [ 0 , 7 ]
[ 3 , 0 ], 27, [ 1 , 0 ]
[ 7 , 5 ], 21, [ 7 , 1 ]
[ 3 , 3 ], 20, [ 7 , 0 ]
[ 6 , 4 ], 23, [ 6 , 6 ]
[ 6 , 1 ], 32, [ 4 , 0 ]
[ 2 , 2 ], 53, [ 7 , 5 ]
[ 1 , 3 ], 33, [ 0 , 0 ]
[ 4 , 7 ], 41, [ 6 , 7 ]
[ 6 , 7 ], 40, [ 6 , 6 ]
[ 1 , 2 ], 17, [ 0 , 7 ]
[ 2 , 5 ], 25, [ 7 , 6 ]
[ 4 , 6 ], 23, [ 1 , 1 ]
[ 1 , 3 ], 16, [ 0 , 7 ]
[ 2 , 1 ], 22, [ 6 , 6 ]
[ 1 , 6 ], 30, [ 7 , 3 ]
[ 7 , 4 ], 13, [ 0 , 7 ]
[ 0 , 3 ], 31, [ 7 , 0 ]
[ 0 , 7 ], 43, [ 4 , 7 ]
[ 0 , 7 ], 39, [ 7 , 6 ]
[ 7 , 6 ], 42, [ 0 , 6 ]
[ 5 , 7 ], 43, [ 6 , 6 ]
[ 5 , 5 ], 54, [ 7 , 0 ]
[ 3 , 1 ], 32, [ 1 , 0 ]
[ 3 , 6 ], 22, [ 0 , 0 ]
[ 1 , 3 ], 34, [ 7 , 6 ]
[ 3 , 6 ], 46, [ 3 , 7 ]
[ 7 , 6 ], 48, [ 1 , 7 ]
[ 2 , 7 ], 28, [ 7 , 1 ]
[ 2 , 0 ], 48, [ 6 , 7 ]
[ 4 , 5 ], 44, [ 7 , 7 ]
[ 4 , 4 ], 36, [ 7 , 0 ]
[ 2 , 2 ], 33, [ 5 , 7 ]
[ 7 , 4 ], 30, [ 7 , 7 ]
[ 4 , 1 ], 30, [ 0 , 0 ]
[ 7 , 1 ], 36, [ 0 , 7 ]
[ 7 , 4 ], 42, [ 0 , 0 ]
[ 1 , 0 ], 26, [ 4 , 0 ]
[ 1 , 5 ], 35, [ 1 , 1 ]
[ 5 , 3 ], 25, [ 7 , 7 ]
[ 2 , 2 ], 42, [ 1 , 0 ]
[ 7 , 5 ], 43, [ 0 , 6 ]
[ 2 , 1 ], 21, [ 0 , 1 ]
[ 6 , 5 ], 32, [ 0 , 0 ]
[ 6 , 4 ], 34, [ 0 , 1 ]
[ 6 , 1 ], 35, [ 5 , 0 ]
[ 7 , 2 ], 16, [ 7 , 7 ]
[ 1 , 2 ], 32, [ 1 , 1 ]
[ 4 , 4 ], 35, [ 0 , 4 ]
[ 5 , 3 ], 50, [ 0 , 7 ]
[ 0 , 3 ], 43, [ 7 , 2 ]
[ 5 , 4 ], 37, [ 0 , 7 ]
[ 6 , 7 ], 54, [ 7 , 5 ]
[ 2 , 6 ], 49, [ 1 , 3 ]
[ 0 , 5 ], 23, [ 1 , 0 ]
[ 4 , 7 ], 47, [ 7 , 2 ]
[ 4 , 1 ], 29, [ 7 , 0 ]
[ 1 , 0 ], 42, [ 7 , 5 ]
[ 3 , 6 ], 46, [ 0 , 6 ]
[ 7 , 7 ], 23, [ 6 , 0 ]
[ 5 , 2 ], 41, [ 0 , 7 ]
[ 5 , 7 ], 40, [ 1 , 0 ]
[ 3 , 3 ], 49, [ 0 , 0 ]
[ 1 , 6 ], 34, [ 0 , 0 ]
[ 0 , 3 ], 35, [ 7 , 0 ]
[ 1 , 1 ], 25, [ 7 , 7 ]
[ 6 , 5 ], 45, [ 0 , 7 ]
[ 6 , 7 ], 44, [ 7 , 1 ]
[ 7 , 0 ], 41, [ 0 , 3 ]
[ 5 , 1 ], 32, [ 6 , 1 ]
[ 1 , 4 ], 47, [ 6 , 1 ]
[ 2 , 5 ], 28, [ 0 , 4 ]
[ 3 , 5 ], 48, [ 3 , 4 ]
[ 2 , 4 ], 50, [ 7 , 0 ]
[ 3 , 7 ], 38, [ 7 , 0 ]
[ 0 , 6 ], 24, [ 0 , 7 ]
[ 7 , 2 ], 38, [ 0 , 6 ]
[ 4 , 4 ], 25, [ 7 , 7 ]
[ 7 , 0 ], 37, [ 7 , 4 ]
[ 7 , 0 ], 31, [ 0 , 7 ]
[ 4 , 1 ], 40, [ 6 , 0 ]
[ 5 , 5 ], 22, [ 7 , 6 ]
[ 5 , 0 ], 48, [ 3 , 3 ]
[ 1 , 1 ], 48, [ 6 , 1 ]
[ 3 , 4 ], 50, [ 1 , 7 ]
[ 5 , 4 ], 27, [ 7 , 2 ]
[ 5 , 7 ], 34, [ 6 , 7 ]
[ 5 , 0 ], 43, [ 6 , 7 ]
[ 5 , 5 ], 39, [ 1 , 7 ]
[ 4 , 6 ], 45, [ 7 , 7 ]
[ 2 , 4 ], 38, [ 0 , 7 ]
[ 6 , 7 ], 14, [ 1 , 7 ]
[ 3 , 4 ], 45, [ 0 , 3 ]
[ 3 , 4 ], 39, [ 0 , 5 ]
[ 5 , 6 ], 44, [ 7 , 3 ]
[ 6 , 5 ], 38, [ 4 , 4 ]
[ 6 , 4 ], 38, [ 1 , 0 ]
[ 0 , 0 ], 26, [ 1 , 0 ]
[ 4 , 2 ], 39, [ 7 , 1 ]
[ 5 , 1 ], 52, [ 7 , 0 ]
[ 7 , 6 ], 47, [ 0 , 7 ]
[ 3 , 1 ], 28, [ 1 , 0 ]
[ 3 , 0 ], 22, [ 3 , 7 ]
[ 1 , 3 ], 32, [ 1 , 0 ]
[ 0 , 5 ], 33, [ 4 , 7 ]
