[ 5 , 7 ], 42, [ 4 , 7 ]
[ 6 , 3 ], 46, [ 1 , 7 ]
[ 6 , 1 ], 39, [ 4 , 7 ]
[ 0 , 2 ], 42, [ 0 , 7 ]
[ 2 , 2 ], 32, [ 5 , 0 ]
[ 3 , 6 ], 47, [ 7 , 2 ]
[ 2 , 0 ], 35, [ 0 , 0 ]
[ 4 , 1 ], 39, [ 0 , 7 ]
[ 7 , 3 ], 42, [ 3 , 0 ]
[ 0 , 3 ], 51, [ 0 , 1 ]
[ 0 , 2 ], 17, [ 7 , 7 ]
[ 0 , 7 ], 45, [ 0 , 1 ]
[ 6 , 1 ], 28, [ 6 , 0 ]
[ 7 , 1 ], 55, [ 0 , 4 ]
[ 3 , 1 ], 29, [ 7 , 7 ]
[ 7 , 1 ], 46, [ 7 , 6 ]
[ 1 , 4 ], 35, [ 7 , 6 ]
[ 3 , 2 ], 24, [ 7 , 7 ]
[ 2 , 5 ], 33, [ 7 , 2 ]
[ 1 , 5 ], 27, [ 6 , 0 ]
[ 5 , 3 ], 27, [ 0 , 6 ]
[ 0 , 6 ], 45, [ 7 , 1 ]
[ 1 , 1 ], 47, [ 6 , 0 ]
[ 2 , 5 ], 36, [ 7 , 5 ]
[ 4 , 6 ], 17, [ 1 , 7 ]
[ 4 , 2 ], 38, [ 1 , 0 ]
[ 2 , 5 ], 41, [ 1 , 6 ]
[ 5 , 4 ], 21, [ 7 , 4 ]
[ 2 , 4 ], 23, [ 7 , 7 ]
[ 1 , 1 ], 29, [ 0 , 6 ]
[ 1 , 4 ], 35, [ 6 , 7 ]
[ 3 , 7 ], 44, [ 7 , 0 ]
[ 6 , 3 ], 44, [ 3 , 3 ]
[ 7 , 6 ], 48, [ 0 , 0 ]
[ 1 , 5 ], 36, [ 7 , 0 ]
[ 2 , 0 ], 40, [ 5 , 0 ]
[ 3 , 6 ], 38, [ 7 , 7 ]
[ 3 , 5 ], 23, [ 1 , 7 ]
[ 5 , 6 ], 34, [ 7 , 1 ]
[ 4 , 0 ], 34, [ 3 , 0 ]
[ 4 , 7 ], 40, [ 6 , 6 ]
[ 5 , 6 ], 30, [ 0 , 0 ]
[ 7 , 0 ], 39, [ 3 , 0 ]
[ 2 , 2 ], 26, [ 6 , 1 ]
[ 0 , 1 ], 27, [ 7 , 0 ]
[ 5 , 0 ], 23, [ 7 , 0 ]
[ 5 , 4 ], 33, [ 0 , 7 ]
[ 1 , 0 ], 28, [ 1 , 7 ]
[ 5 , 0 ], 18, [ 6 , 0 ]
[ 3 , 3 ], 20, [ 6 , 7 ]
[ 6 , 2 ], 40, [ 0 , 1 ]
[ 1 , 1 ], 45, [ 6 , 0 ]
[ 3 , 0 ], 21, [ 6 , 7 ]
[ 0 , 7 ], 46, [ 7 , 1 ]
[ 3 , 3 ], 45, [ 6 , 4 ]
[ 6 , 1 ], 35, [ 7 , 0 ]
[ 7 , 7 ], 31, [ 3 , 7 ]
[ 0 , 3 ], 35, [ 6 , 7 ]
[ 6 , 1 ], 38, [ 2 , 0 ]
[ 1 , 3 ], 28, [ 7 , 0 ]
[ 3 , 0 ], 44, [ 6 , 0 ]
[ 1 , 1 ], 38, [ 7 , 4 ]
[ 4 , 5 ], 50, [ 0 , 0 ]
[ 2 , 6 ], 48, [ 4 , 7 ]
[ 2 , 7 ], 15, [ 0 , 7 ]
[ 2 , 2 ], 22, [ 1 , 0 ]
[ 2 , 7 ], 27, [ 6 , 7 ]
[ 7 , 1 ], 33, [ 0 , 0 ]
[ 1 , 4 ], 20, [ 0 , 0 ]
[ 5 , 3 ], 33, [ 7 , 7 ]
[ 1 , 6 ], 31, [ 0 , 7 ]
[ 2 , 0 ], 29, [ 0 , 4 ]
[ 2 , 0 ], 47, [ 6 , 0 ]
[ 4 , 2 ], 33, [ 0 , 6 ]
[ 5 , 2 ], 31, [ 7 , 0 ]
[ 2 , 6 ], 40, [ 0 , 1 ]
[ 0 , 7 ], 42, [ 1 , 7 ]
[ 5 , 2 ], 47, [ 6 , 7 ]
[ 0 , 6 ], 11, [ 7 , 7 ]
[ 3 , 5 ], 50, [ 4 , 7 ]
[ 4 , 2 ], 30, [ 7 , 4 ]
[ 7 , 0 ], 30, [ 1 , 7 ]
[ 1 , 6 ], 44, [ 7 , 1 ]
[ 0 , 2 ], 42, [ 6 , 3 ]
[ 4 , 2 ], 40, [ 6 , 7 ]
[ 6 , 1 ], 47, [ 7 , 0 ]
[ 0 , 4 ], 46, [ 0 , 5 ]
[ 5 , 3 ], 26, [ 0 , 7 ]
[ 1 , 1 ], 31, [ 7 , 3 ]
[ 4 , 2 ], 33, [ 0 , 0 ]
