[ 6 , 6 ], 32, [ 7 , 4 ]
[ 0 , 5 ], 51, [ 4 , 1 ]
[ 6 , 0 ], 29, [ 3 , 7 ]
[ 7 , 6 ], 41, [ 4 , 7 ]
[ 0 , 2 ], 8, [ 1 , 0 ]
[ 1 , 6 ], 44, [ 7 , 1 ]
[ 1 , 6 ], 42, [ 0 , 0 ]
[ 0 , 0 ], 41, [ 0 , 6 ]
[ 2 , 5 ], 27, [ 7 , 6 ]
[ 4 , 2 ], 54, [ 0 , 1 ]
[ 7 , 6 ], 49, [ 0 , 7 ]
[ 2 , 4 ], 31, [ 1 , 7 ]
[ 6 , 1 ], 38, [ 0 , 0 ]
[ 0 , 6 ], 40, [ 4 , 7 ]
[ 5 , 7 ], 40, [ 7 , 6 ]
[ 2 , 0 ], 30, [ 4 , 7 ]
[ 5 , 0 ], 23, [ 1 , 0 ]
[ 2 , 6 ], 52, [ 6 , 3 ]
[ 6 , 3 ], 39, [ 0 , 1 ]
[ 3 , 1 ], 42, [ 4 , 3 ]
[ 3 , 5 ], 22, [ 7 , 0 ]
[ 1 , 7 ], 52, [ 0 , 5 ]
[ 5 , 7 ], 49, [ 1 , 1 ]
[ 6 , 3 ], 37, [ 5 , 0 ]
[ 6 , 3 ], 34, [ 5 , 7 ]
[ 0 , 2 ], 29, [ 1 , 1 ]
[ 2 , 0 ], 45, [ 7 , 7 ]
[ 7 , 5 ], 41, [ 1 , 1 ]
[ 5 , 4 ], 38, [ 0 , 0 ]
[ 0 , 2 ], 36, [ 1 , 0 ]
[ 2 , 3 ], 30, [ 7 , 1 ]
[ 1 , 6 ], 44, [ 0 , 0 ]
[ 3 , 4 ], 34, [ 7 , 3 ]
[ 3 , 0 ], 36, [ 0 , 0 ]
[ 4 , 0 ], 30, [ 0 , 7 ]
[ 5 , 6 ], 41, [ 3 , 0 ]
[ 6 , 4 ], 43, [ 7 , 7 ]
[ 5 , 3 ], 24, [ 7 , 0 ]
[ 5 , 7 ], 24, [ 0 , 7 ]
[ 7 , 0 ], 48, [ 7 , 7 ]
[ 2 , 6 ], 40, [ 0 , 3 ]
[ 3 , 7 ], 45, [ 0 , 0 ]
[ 5 , 1 ], 16, [ 6 , 7 ]
[ 0 , 1 ], 27, [ 7 , 6 ]
[ 0 , 1 ], 26, [ 0 , 2 ]
[ 1 , 6 ], 38, [ 6 , 0 ]
[ 2 , 0 ], 40, [ 7 , 2 ]
[ 5 , 3 ], 31, [ 4 , 0 ]
[ 3 , 1 ], 31, [ 0 , 0 ]
[ 0 , 4 ], 27, [ 7 , 1 ]
[ 6 , 2 ], 44, [ 7 , 0 ]
[ 5 , 4 ], 13, [ 7 , 6 ]
[ 1 , 3 ], 36, [ 0 , 7 ]
[ 4 , 1 ], 35, [ 2 , 3 ]
[ 6 , 1 ], 20, [ 0 , 0 ]
[ 7 , 5 ], 38, [ 6 , 3 ]
[ 3 , 6 ], 38, [ 0 , 0 ]
[ 1 , 4 ], 22, [ 7 , 7 ]
[ 7 , 0 ], 51, [ 4 , 3 ]
[ 3 , 7 ], 38, [ 7 , 6 ]
[ 5 , 4 ], 37, [ 0 , 7 ]
[ 6 , 4 ], 46, [ 6 , 7 ]
[ 7 , 4 ], 52, [ 7 , 3 ]
[ 1 , 5 ], 51, [ 6 , 0 ]
[ 7 , 5 ], 43, [ 0 , 6 ]
[ 2 , 4 ], 33, [ 7 , 1 ]
[ 6 , 2 ], 37, [ 1 , 7 ]
[ 3 , 6 ], 35, [ 7 , 0 ]
[ 7 , 2 ], 42, [ 7 , 7 ]
[ 7 , 7 ], 45, [ 6 , 0 ]
[ 5 , 7 ], 44, [ 7 , 6 ]
[ 7 , 7 ], 41, [ 0 , 6 ]
[ 0 , 3 ], 19, [ 0 , 7 ]
[ 5 , 6 ], 23, [ 6 , 7 ]
[ 2 , 4 ], 39, [ 2 , 0 ]
[ 5 , 2 ], 36, [ 0 , 0 ]
[ 7 , 0 ], 42, [ 0 , 6 ]
[ 5 , 0 ], 26, [ 0 , 0 ]
[ 1 , 5 ], 15, [ 5 , 7 ]
[ 1 , 1 ], 44, [ 3 , 0 ]
[ 7 , 3 ], 23, [ 0 , 0 ]
[ 2 , 0 ], 38, [ 0 , 7 ]
